vertex start_time finish_time proc_num
fastqc_00000284 5175.48388888889 10350.9677777778 20
fastqc_00000128 5175.48388888889 10350.9677777778 21
fastqc_00001280 5175.48388888889 10350.9677777778 22
fastqc_00001424 5175.48388888889 10350.9677777778 23
fastqc_00000116 10350.9677777778 15526.4516666667 18
fastqc_00000296 10350.9677777778 15526.4516666667 19
fastqc_00000812 10350.9677777778 15526.4516666667 20
fastqc_00000001 10350.9677777778 15526.4516666667 21
fastqc_00001448 10350.9677777778 15526.4516666667 22
fastqc_00000176 10350.9677777778 15526.4516666667 23
fastqc_00001460 7763.22583333333 15526.4516666667 29
fastqc_00000080 0 15526.4516666667 5
fastqc_00000188 0 15526.4516666667 4
fastqc_00001364 0 15526.4516666667 3
fastqc_00001388 0 15526.4516666667 2
fastqc_00001472 0 15526.4516666667 1
fastqc_00000200 0 15526.4516666667 0
fastqc_00000164 7763.22583333333 15526.4516666667 24
fastqc_00000068 7763.22583333333 15526.4516666667 25
fastqc_00001352 7763.22583333333 15526.4516666667 26
fastqc_00000092 7763.22583333333 15526.4516666667 27
fastqc_00000104 7763.22583333333 15526.4516666667 28
fastqc_00000212 15526.4516666667 20701.9355555556 18
fastqc_00000152 15526.4516666667 20701.9355555556 19
fastqc_00000056 15526.4516666667 20701.9355555556 20
fastqc_00001340 15526.4516666667 20701.9355555556 21
fastqc_00000224 15526.4516666667 20701.9355555556 22
fastqc_00001484 15526.4516666667 20701.9355555556 23
fastqc_00001328 15526.4516666667 23289.6775 29
fastqc_00000044 15526.4516666667 23289.6775 24
fastqc_00001400 15526.4516666667 23289.6775 25
fastqc_00001496 15526.4516666667 23289.6775 26
fastqc_00001376 15526.4516666667 23289.6775 27
fastqc_00000620 15526.4516666667 23289.6775 28
fastqc_00000932 20701.9355555556 25877.4194444444 18
fastqc_00000944 20701.9355555556 25877.4194444444 19
fastqc_00000668 20701.9355555556 25877.4194444444 20
fastqc_00000656 20701.9355555556 25877.4194444444 21
fastqc_00000956 20701.9355555556 25877.4194444444 22
